symbol,name,signal_offset,base_price,signal_volume,last_close,note
sh600993,马应龙,4,25.48,94241.0,25.94,关注今日回踩或破位放量启动点
sh603690,至纯科技,3,23.67,265292.0,25.66,关注今日回踩或破位放量启动点
sh603915,国茂股份,3,15.3,150784.0,15.85,关注今日回踩或破位放量启动点
sz002216,三全食品,4,13.88,256201.0,14.5,关注今日回踩或破位放量启动点
sh600203,福日电子,4,11.97,498793.0,12.41,关注今日回踩或破位放量启动点
