mode,symbol,name,date,source,data_granularity,price_092430,price_0915_ref,price_0919_high,price_0920_ref,change_pct,volume_ratio,score,passed,fail_reasons,note
,sz002931,锋龙股份,20260427,pytdx_snapshot,snapshot_polling_approx_092430,62.33,69.25,62.33,62.33,-9.9928,11.0628,0.0,False,change_pct_out_of_range;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz002549,凯美特气,20260427,pytdx_snapshot,snapshot_polling_approx_092430,20.145,19.98,20.15,20.145,0.8258,0.8358,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603888,新华网,20260427,pytdx_snapshot,snapshot_polling_approx_092430,20.365,20.5,20.37,20.365,-0.6585,1.161,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603220,中贝通信,20260427,pytdx_snapshot,snapshot_polling_approx_092430,31.365,31.84,31.37,31.365,-1.4918,0.9077,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh605222,起帆电缆,20260427,pytdx_snapshot,snapshot_polling_approx_092430,33.535,33.44,33.54,33.535,0.2841,0.2422,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz000681,视觉中国,20260427,pytdx_snapshot,snapshot_polling_approx_092430,20.245,20.41,20.25,20.245,-0.8084,0.7251,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh600850,电科数字,20260427,pytdx_snapshot,snapshot_polling_approx_092430,20.265,20.24,20.27,20.265,0.1235,0.6818,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz002158,汉钟精机,20260427,pytdx_snapshot,snapshot_polling_approx_092430,26.195,25.75,26.22,26.195,1.7282,0.567,0.0,False,volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz000099,中信海直,20260427,pytdx_snapshot,snapshot_polling_approx_092430,17.675,17.69,17.68,17.675,-0.0848,2.6286,0.0,False,change_pct_out_of_range;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603226,菲林格尔,20260427,pytdx_snapshot,snapshot_polling_approx_092430,38.765,38.4,38.81,38.765,0.9505,0.0677,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz003018,金富科技,20260427,pytdx_snapshot,snapshot_polling_approx_092430,55.515,57.28,55.52,55.515,-3.0814,0.1449,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh600315,上海家化,20260427,pytdx_snapshot,snapshot_polling_approx_092430,20.605,20.22,20.61,20.605,1.9041,0.638,0.0,False,volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh600619,海立股份,20260427,pytdx_snapshot,snapshot_polling_approx_092430,17.245,17.18,17.25,17.245,0.3783,2.0664,0.0,False,change_pct_out_of_range;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz002246,北化股份,20260427,pytdx_snapshot,snapshot_polling_approx_092430,24.425,24.64,24.43,24.425,-0.8726,0.0365,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh605020,永和股份,20260427,pytdx_snapshot,snapshot_polling_approx_092430,26.915,26.8,26.92,26.915,0.4291,0.1567,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603283,赛腾股份,20260427,pytdx_snapshot,snapshot_polling_approx_092430,49.61,49.68,49.62,49.61,-0.1409,0.0101,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh605507,国邦医药,20260427,pytdx_snapshot,snapshot_polling_approx_092430,23.985,24.0,23.99,23.985,-0.0625,0.5042,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz002847,盐津铺子,20260427,pytdx_snapshot,snapshot_polling_approx_092430,55.185,54.95,55.19,55.185,0.4277,0.0218,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh603103,横店影视,20260427,pytdx_snapshot,snapshot_polling_approx_092430,21.185,21.03,21.19,21.185,0.737,0.3091,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
sanan,sz000815,美利云,20260427,pytdx_snapshot,snapshot_polling_approx_092430,19.715,19.17,19.72,19.715,2.843,1.8884,56.76,True,,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sh600211,西藏药业,20260427,pytdx_snapshot,snapshot_polling_approx_092430,40.335,40.82,40.34,40.335,-1.1881,0.2131,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
,sz002796,世嘉科技,20260427,pytdx_snapshot,snapshot_polling_approx_092430,57.125,57.75,57.13,57.125,-1.0823,0.0554,0.0,False,change_pct_out_of_range;volume_ratio_too_low;no_limitup_like_peak_before_0920,当前版本基于 09:24:30 附近 pytdx 快照做近似判定；若后续补到 09:15~09:24 连续轨迹，可进一步提升准确度。
